"Path","Root","Extension","SizeBytes","IsText","Lines"
"backend\services\SmtpMailProvider.php","backend",".php","2259","True","56"
"backend\services\tracking_service.php","backend",".php","2187","True","61"
"backend\services\traffic_cache.php","backend",".php","2672","True","86"
"backend\services\traffic_pricing.php","backend",".php","13164","True","368"
"backend\services\traffic_service.php","backend",".php","8554","True","235"
"backend\services\traffic_zone_resolver.php","backend",".php","1320","True","46"
"backend\services\TripService.php","backend",".php","652","True","19"
"backend\services\trip_state_machine.php","backend",".php","4094","True","99"
"backend\services\UserService.php","backend",".php","282","True","14"
"backend\storage\.htaccess","backend",".htaccess","15","False","0"
"backend\storage\logs\.htaccess","backend",".htaccess","15","False","0"
"backend\support\create_ticket.php","backend",".php","6865","True","166"
"backend\support\get_categories.php","backend",".php","1176","True","42"
"backend\support\get_tickets.php","backend",".php","6668","True","167"
"backend\support\get_ticket_logs.php","backend",".php","2206","True","62"
"backend\support\get_ticket_messages.php","backend",".php","3893","True","108"
"backend\support\request_callback.php","backend",".php","3131","True","93"
"backend\support\send_message.php","backend",".php","7452","True","193"
"backend\support\update_ticket.php","backend",".php","8077","True","185"
"backend\support\_support_auth.php","backend",".php","4220","True","122"
"backend\user\block_user.php","backend",".php","3423","True","84"
"backend\user\cancel_trip_request.php","backend",".php","4529","True","121"
